customer_id,customer_name,email,city,state,signup_date
1,Customer_1,customer1@example.com,Hyderabad,Telangana,2023-07-18
2,Customer_2,customer2@example.com,Bangalore,Karnataka,2022-10-13
3,Customer_3,customer3@example.com,Hyderabad,Tamil Nadu,2022-06-28
4,Customer_4,customer4@example.com,Chennai,Delhi,2022-03-07
5,Customer_5,customer5@example.com,Hyderabad,Telangana,2023-03-24
6,Customer_6,customer6@example.com,Bangalore,Tamil Nadu,2022-02-24
7,Customer_7,customer7@example.com,Chennai,Karnataka,2025-01-21
8,Customer_8,customer8@example.com,Delhi,Karnataka,2024-07-08
9,Customer_9,customer9@example.com,Chennai,Maharashtra,2022-01-14
10,Customer_10,customer10@example.com,Bangalore,Delhi,2023-11-28
11,Customer_11,customer11@example.com,Mumbai,Karnataka,2023-03-17
12,Customer_12,customer12@example.com,Mumbai,Telangana,2022-07-09
13,Customer_13,customer13@example.com,Delhi,Telangana,2024-01-06
14,Customer_14,customer14@example.com,Mumbai,Tamil Nadu,2023-06-26
15,Customer_15,customer15@example.com,Hyderabad,Delhi,2025-01-03
16,Customer_16,customer16@example.com,Hyderabad,Delhi,2022-06-11
17,Customer_17,customer17@example.com,Chennai,Maharashtra,2024-01-11
18,Customer_18,customer18@example.com,Chennai,Karnataka,2022-05-23
19,Customer_19,customer19@example.com,Hyderabad,Karnataka,2023-08-16
20,Customer_20,customer20@example.com,Hyderabad,Karnataka,2022-07-26
21,Customer_21,customer21@example.com,Delhi,Maharashtra,2024-07-17
22,Customer_22,customer22@example.com,Mumbai,Karnataka,2024-01-29
23,Customer_23,customer23@example.com,Mumbai,Karnataka,2023-07-01
24,Customer_24,customer24@example.com,Hyderabad,Tamil Nadu,2022-12-17
25,Customer_25,customer25@example.com,Chennai,Karnataka,2022-12-01
26,Customer_26,customer26@example.com,Delhi,Delhi,2023-07-07
27,Customer_27,customer27@example.com,Chennai,Karnataka,2023-10-27
28,Customer_28,customer28@example.com,Hyderabad,Karnataka,2022-03-07
29,Customer_29,customer29@example.com,Mumbai,Delhi,2023-07-03
30,Customer_30,customer30@example.com,Hyderabad,Karnataka,2025-03-07
31,Customer_31,customer31@example.com,Mumbai,Karnataka,2024-10-19
32,Customer_32,customer32@example.com,Delhi,Delhi,2022-10-20
33,Customer_33,customer33@example.com,Mumbai,Karnataka,2023-05-21
34,Customer_34,customer34@example.com,Chennai,Tamil Nadu,2023-06-23
35,Customer_35,customer35@example.com,Chennai,Delhi,2025-04-10
36,Customer_36,customer36@example.com,Delhi,Maharashtra,2023-03-26
37,Customer_37,customer37@example.com,Bangalore,Tamil Nadu,2024-10-07
38,Customer_38,customer38@example.com,Hyderabad,Telangana,2022-08-13
39,Customer_39,customer39@example.com,Bangalore,Karnataka,2024-05-14
40,Customer_40,customer40@example.com,Chennai,Telangana,2024-02-28
41,Customer_41,customer41@example.com,Delhi,Tamil Nadu,2024-08-16
42,Customer_42,customer42@example.com,Chennai,Maharashtra,2025-02-07
43,Customer_43,customer43@example.com,Hyderabad,Telangana,2025-01-04
44,Customer_44,customer44@example.com,Mumbai,Maharashtra,2022-08-17
45,Customer_45,customer45@example.com,Mumbai,Delhi,2022-11-20
46,Customer_46,customer46@example.com,Delhi,Telangana,2023-06-24
47,Customer_47,customer47@example.com,Chennai,Karnataka,2024-11-05
48,Customer_48,customer48@example.com,Hyderabad,Maharashtra,2024-11-05
49,Customer_49,customer49@example.com,Chennai,Karnataka,2022-11-10
50,Customer_50,customer50@example.com,Mumbai,Karnataka,2025-01-09
